Date,GBP/AUD,USD/AUD
2016-05-02,0.5405,0.7948
2016-05-03,0.5432,0.8001
2016-05-04,0.5355,0.7816
2016-05-05,0.5352,0.7792
2016-05-06,0.536,0.7798
2016-05-07,0.536,0.7798
2016-05-08,0.536,0.7798
2016-05-09,0.5319,0.7709
2016-05-10,0.5284,0.7648
2016-05-11,0.5316,0.7713
2016-05-12,0.5312,0.7707
2016-05-13,0.5275,0.7657
2016-05-14,0.5275,0.7657
2016-05-15,0.5275,0.7657
2016-05-16,0.5263,0.7591
2016-05-17,0.5266,0.7623
2016-05-18,0.5271,0.7657
2016-05-19,0.5162,0.7565
2016-05-20,0.5152,0.7559
2016-05-21,0.5152,0.7559
2016-05-22,0.5152,0.7559
2016-05-23,0.5185,0.7559
2016-05-24,0.5192,0.7555
2016-05-25,0.5115,0.7515
2016-05-26,0.5096,0.7521
2016-05-27,0.5131,0.7557
2016-05-28,0.5131,0.7557
2016-05-29,0.5131,0.7557
2016-05-30,0.5117,0.7527
2016-05-31,0.5114,0.7518
2016-06-01,0.5201,0.7566
2016-06-02,0.524,0.7591
2016-06-03,0.522,0.7561
2016-06-04,0.522,0.7561
2016-06-05,0.522,0.7561
2016-06-06,0.5288,0.7737
2016-06-07,0.5301,0.7696
2016-06-08,0.5334,0.779
2016-06-09,0.5362,0.7813
2016-06-10,0.5348,0.7765
2016-06-11,0.5348,0.7765
2016-06-12,0.5348,0.7765
2016-06-13,0.5348,0.7765
2016-06-14,0.5398,0.772
2016-06-15,0.5419,0.7691
2016-06-16,0.5423,0.7742
2016-06-17,0.5391,0.7695
2016-06-18,0.5391,0.7695
2016-06-19,0.5391,0.7695
2016-06-20,0.5343,0.7763
2016-06-21,0.5292,0.7794
2016-06-22,0.5289,0.7784
2016-06-23,0.5293,0.7852
2016-06-24,0.5294,0.795
2016-06-25,0.5294,0.795
2016-06-26,0.5294,0.795
2016-06-27,0.5744,0.7762
2016-06-28,0.575,0.7664
2016-06-29,0.5743,0.7717
2016-06-30,0.5763,0.7782
2016-07-01,0.5809,0.7782
2016-07-02,0.5809,0.7782
2016-07-03,0.5809,0.7782
2016-07-04,0.5832,0.7797
2016-07-05,0.5883,0.7876
2016-07-06,0.5938,0.7796
2016-07-07,0.6026,0.7852
2016-07-08,0.6021,0.7831
2016-07-09,0.6021,0.7831
2016-07-10,0.6021,0.7831
2016-07-11,0.6052,0.789
2016-07-12,0.6007,0.7864
2016-07-13,0.5975,0.796
2016-07-14,0.5994,0.7934
2016-07-15,0.5927,0.7965
2016-07-16,0.5927,0.7965
2016-07-17,0.5927,0.7965
2016-07-18,0.5951,0.7928
2016-07-19,0.5933,0.7924
2016-07-20,0.5934,0.7839
2016-07-21,0.5856,0.7807
2016-07-22,0.5871,0.783
2016-07-23,0.5871,0.783
2016-07-24,0.5871,0.783
2016-07-25,0.5906,0.7807
2016-07-26,0.5897,0.7802
2016-07-27,0.5919,0.7834
2016-07-28,0.5872,0.7824
2016-07-29,0.5918,0.7843
2016-07-30,0.5918,0.7843
2016-07-31,0.5918,0.7843
2016-08-01,0.5957,0.7935
2016-08-02,0.5927,0.7867
2016-08-03,0.5909,0.7949
2016-08-04,0.59,0.7919
2016-08-05,0.6029,0.7961
2016-08-06,0.6029,0.7961
2016-08-07,0.6029,0.7961
2016-08-08,0.6029,0.7943
2016-08-09,0.6071,0.7982
2016-08-10,0.6107,0.8006
2016-08-11,0.6127,0.8036
2016-08-12,0.6148,0.8031
2016-08-13,0.6148,0.8031
2016-08-14,0.6148,0.8031
2016-08-15,0.6138,0.7991
2016-08-16,0.6165,0.8006
2016-08-17,0.6105,0.8028
2016-08-18,0.6105,0.8028
2016-08-19,0.6105,0.8028
2016-08-20,0.6105,0.8028
2016-08-21,0.6105,0.8028
2016-08-22,0.6105,0.8028
2016-08-23,0.6105,0.8028
2016-08-24,0.6105,0.8028
2016-08-25,0.6105,0.8028
2016-08-26,0.6105,0.8028
